asset,entry_time,method,stop_pct,trades,gross_pnl,fees,net_pnl,avg_pnl,median_pnl,win_rate,avg_profitable_trade,avg_losing_trade,payoff_ratio,profit_factor,sharpe_daily_annualized,max_drawdown,max_drawdown_duration_days,max_drawdown_duration_trades,max_drawdown_date,recovery_date,recovered,max_consecutive_wins,max_consecutive_losses,best_trade,worst_trade,cvar_95
BTC,13:00,combined,50,191,764.95,853.77,-88.82,-0.465,7.8771,0.5288,43.2384,-49.51,0.8733,0.9801,-0.1577,1062.83,130,130,2026-06-28,,False,6,5,161.24,-279.71,-107.04
BTC,13:00,combined,100,191,509.99,845.09,-335.1,-1.7544,11.6912,0.5864,42.5818,-64.6109,0.659,0.9343,-0.5069,935.99,134,134,2026-06-26,,False,7,4,161.24,-279.71,-150.42
BTC,13:00,combined,150,191,229.1,842.22,-613.12,-3.2101,13.984,0.6073,41.93,-73.0267,0.5742,0.8881,-0.8275,1061.56,134,134,2026-05-08,,False,7,4,161.24,-279.71,-196.64
BTC,13:00,leg_both,50,191,619.88,1007.22,-387.34,-2.028,-6.1293,0.2356,24.5058,-10.2062,2.4011,0.7401,-1.7306,446.64,167,167,2026-07-10,,False,3,20,148.91,-33.85,-27.66
BTC,13:00,leg_both,100,191,794.63,908.55,-113.92,-0.5964,-10.3234,0.3403,41.8194,-22.4776,1.8605,0.9598,-0.2924,902.84,136,136,2026-06-28,,False,6,12,161.24,-69.46,-55.33
BTC,13:00,leg_both,150,191,379.08,874.13,-495.05,-2.5919,-12.2476,0.4136,45.331,-36.3946,1.2455,0.8786,-0.9616,1134.74,134,134,2026-06-26,,False,6,7,161.24,-279.71,-103.39
BTC,13:00,leg_independent,50,191,1077.17,947.98,129.19,0.6764,5.6341,0.6178,21.4009,-32.8235,0.652,1.0539,0.3603,549.94,148,148,2026-03-18,,False,9,3,148.91,-90.61,-76.39
BTC,13:00,leg_independent,100,191,773.8,886.27,-112.47,-0.5889,-3.1176,0.4607,33.8271,-29.9928,1.1278,0.9636,-0.2473,1041.24,136,136,2026-06-28,,False,6,8,161.24,-162.27,-108.46
BTC,13:00,leg_independent,150,191,127.84,867.07,-739.23,-3.8703,-5.653,0.445,42.693,-41.2088,1.036,0.8308,-1.3135,1479.98,134,134,2026-06-26,,False,6,7,161.24,-279.71,-142.42
BTC,13:15,combined,50,191,344.89,839.39,-494.5,-2.589,-7.7256,0.4817,46.612,-48.3111,0.9648,0.8966,-0.8852,1159.88,132,132,2026-06-26,,False,6,5,160.61,-173.63,-98.51
